,semester,program,course_code,waitlisted,number_of_students
231,202010,EC-MS-TCOM,TCOM535,T,138.0
232,202070,EC-MS-AIT,AIT512,F,12.0
233,202070,EC-MS-AIT,AIT524,F,6.0
234,202070,EC-MS-AIT,AIT542,F,14.0
235,202070,EC-MS-AIT,AIT582,F,6.0
236,202070,EC-MS-AIT,AIT614,F,6.0
237,202070,EC-MS-AIT,AIT660,F,11.0
238,202070,EC-MS-AIT,AIT664,F,5.0
239,202070,EC-MS-AIT,AIT672,F,13.0
240,202070,EC-MS-AIT,AIT677,F,8.0
241,202070,EC-MS-AIT,AIT512,T,137.0
242,202070,EC-MS-AIT,AIT524,T,143.0
243,202070,EC-MS-AIT,AIT542,T,135.0
244,202070,EC-MS-AIT,AIT582,T,143.0
245,202070,EC-MS-AIT,AIT614,T,143.0
246,202070,EC-MS-AIT,AIT660,T,138.0
247,202070,EC-MS-AIT,AIT664,T,144.0
248,202070,EC-MS-AIT,AIT672,T,136.0
249,202070,EC-MS-AIT,AIT677,T,141.0
250,202070,EC-MS-CEIE,CEIE601,F,41.0
251,202070,EC-MS-CEIE,CEIE634,F,11.0
252,202070,EC-MS-CEIE,CEIE639,F,3.0
253,202070,EC-MS-CEIE,CEIE601,T,108.0
254,202070,EC-MS-CEIE,CEIE634,T,138.0
255,202070,EC-MS-CEIE,CEIE639,T,146.0
256,202070,EC-MS-CS,CS530,F,149.0
257,202070,EC-MS-CS,CS531,F,145.0
258,202070,EC-MS-CS,CS550,F,49.0
259,202070,EC-MS-CS,CS583,F,53.0
260,202070,EC-MS-CS,ISA673,F,4.0
261,202070,EC-MS-CS,CS530,T,0.0
262,202070,EC-MS-CS,CS531,T,4.0
263,202070,EC-MS-CS,CS550,T,100.0
264,202070,EC-MS-CS,CS583,T,96.0
265,202070,EC-MS-CS,ISA673,T,145.0
266,202070,EC-MS-DAEN,AIT524,F,6.0
267,202070,EC-MS-DAEN,AIT580,F,62.0
268,202070,EC-MS-DAEN,AIT590,F,2.0
269,202070,EC-MS-DAEN,AIT614,F,6.0
270,202070,EC-MS-DAEN,AIT622,F,5.0
271,202070,EC-MS-DAEN,AIT664,F,5.0
272,202070,EC-MS-DAEN,AIT722,F,2.0
273,202070,EC-MS-DAEN,AIT736,F,3.0
274,202070,EC-MS-DAEN,CS504,F,105.0
275,202070,EC-MS-DAEN,CS584,F,22.0
276,202070,EC-MS-DAEN,HAP780,F,1.0
277,202070,EC-MS-DAEN,OR531,F,73.0
278,202070,EC-MS-DAEN,OR568,F,3.0
279,202070,EC-MS-DAEN,STAT515,F,119.0
280,202070,EC-MS-DAEN,STAT544,F,5.0
281,202070,EC-MS-DAEN,STAT554,F,10.0
282,202070,EC-MS-DAEN,STAT663,F,3.0
283,202070,EC-MS-DAEN,SYST568,F,8.0
284,202070,EC-MS-DAEN,SYST573,F,5.0
285,202070,EC-MS-DAEN,SYST688,F,2.0
286,202070,EC-MS-DAEN,AIT524,T,143.0
287,202070,EC-MS-DAEN,AIT580,T,87.0
288,202070,EC-MS-DAEN,AIT590,T,147.0
289,202070,EC-MS-DAEN,AIT614,T,143.0
290,202070,EC-MS-DAEN,AIT622,T,144.0
291,202070,EC-MS-DAEN,AIT664,T,144.0
292,202070,EC-MS-DAEN,AIT722,T,147.0
293,202070,EC-MS-DAEN,AIT736,T,146.0
294,202070,EC-MS-DAEN,CS504,T,44.0
295,202070,EC-MS-DAEN,CS584,T,127.0
296,202070,EC-MS-DAEN,HAP780,T,148.0
297,202070,EC-MS-DAEN,OR531,T,76.0
298,202070,EC-MS-DAEN,OR568,T,146.0
299,202070,EC-MS-DAEN,STAT515,T,30.0
300,202070,EC-MS-DAEN,STAT544,T,144.0
301,202070,EC-MS-DAEN,STAT554,T,139.0
302,202070,EC-MS-DAEN,STAT663,T,146.0
303,202070,EC-MS-DAEN,SYST568,T,141.0
304,202070,EC-MS-DAEN,SYST573,T,144.0
305,202070,EC-MS-DAEN,SYST688,T,147.0
306,202070,EC-MS-ELEN,ECE513,F,4.0
307,202070,EC-MS-ELEN,ECE527,F,15.0
308,202070,EC-MS-ELEN,ECE542,F,12.0
309,202070,EC-MS-ELEN,ECE587,F,6.0
310,202070,EC-MS-ELEN,ECE513,T,145.0
311,202070,EC-MS-ELEN,ECE527,T,134.0
312,202070,EC-MS-ELEN,ECE542,T,137.0
313,202070,EC-MS-ELEN,ECE587,T,143.0
314,202070,EC-MS-ISYS,CS555,F,28.0
315,202070,EC-MS-ISYS,INFS622,F,80.0
316,202070,EC-MS-ISYS,CS555,T,121.0
317,202070,EC-MS-ISYS,INFS622,T,69.0
318,202070,EC-MS-OPRS,OR541,F,13.0
319,202070,EC-MS-OPRS,OR542,F,2.0
320,202070,EC-MS-OPRS,OR568,F,3.0
321,202070,EC-MS-OPRS,OR541,T,136.0
322,202070,EC-MS-OPRS,OR542,T,147.0
323,202070,EC-MS-OPRS,OR568,T,146.0
324,202070,EC-MS-STAT,STAT544,F,5.0
325,202070,EC-MS-STAT,STAT554,F,11.0
326,202070,EC-MS-STAT,STAT663,F,3.0
327,202070,EC-MS-STAT,STAT544,T,144.0
328,202070,EC-MS-STAT,STAT554,T,138.0
329,202070,EC-MS-STAT,STAT663,T,146.0
330,202070,EC-MS-SWE,CS551,F,30.0
331,202070,EC-MS-SWE,CS587,F,17.0
332,202070,EC-MS-SWE,ISA562,F,15.0
333,202070,EC-MS-SWE,SWE637,F,8.0
334,202070,EC-MS-SWE,CS551,T,119.0
335,202070,EC-MS-SWE,CS587,T,132.0
336,202070,EC-MS-SWE,ISA562,T,134.0
337,202070,EC-MS-SWE,SWE637,T,141.0
338,202070,EC-MS-TCOM,ECE542,F,12.0
339,202070,EC-MS-TCOM,TCOM500,F,9.0
340,202070,EC-MS-TCOM,TCOM515,F,10.0
341,202070,EC-MS-TCOM,TCOM610,F,5.0
342,202070,EC-MS-TCOM,TCOM616,F,5.0
343,202070,EC-MS-TCOM,TCOM631,F,1.0
344,202070,EC-MS-TCOM,ECE542,T,137.0
345,202070,EC-MS-TCOM,TCOM500,T,140.0
346,202070,EC-MS-TCOM,TCOM515,T,139.0
347,202070,EC-MS-TCOM,TCOM610,T,144.0
348,202070,EC-MS-TCOM,TCOM616,T,144.0
349,202070,EC-MS-TCOM,TCOM631,T,148.0
350,201970,EC-MS-ELEN,ECE542,F,12.0
351,201970,EC-MS-ELEN,ECE584,F,8.0
352,201970,EC-MS-ELEN,ECE587,F,6.0
353,201970,EC-MS-ELEN,ECE631,F,2.0
354,201970,EC-MS-ELEN,ECE681,F,4.0
355,201970,EC-MS-ELEN,ECE542,T,137.0
356,201970,EC-MS-ELEN,ECE584,T,141.0
357,201970,EC-MS-ELEN,ECE587,T,143.0
358,201970,EC-MS-ELEN,ECE631,T,147.0
359,201970,EC-MS-ELEN,ECE681,T,145.0
360,201970,EC-MS-ISA,ISA562,F,15.0
361,201970,EC-MS-ISA,ISA562,T,134.0
362,202010,EC-MS-AIT,AIT524,F,6.0
363,202010,EC-MS-AIT,AIT542,F,14.0
364,202010,EC-MS-AIT,AIT602,F,2.0
365,202010,EC-MS-AIT,AIT677,F,8.0
366,202010,EC-MS-AIT,AIT716,F,6.0
367,202010,EC-MS-AIT,AIT524,T,143.0
368,202010,EC-MS-AIT,AIT542,T,135.0
369,202010,EC-MS-AIT,AIT602,T,147.0
370,202010,EC-MS-AIT,AIT677,T,141.0
371,202010,EC-MS-AIT,AIT716,T,143.0
372,202010,EC-MS-CEIE,CEIE524,F,10.0
373,202010,EC-MS-CEIE,CEIE575,F,19.0
374,202010,EC-MS-CEIE,CEIE576,F,22.0
375,202010,EC-MS-CEIE,CEIE578,F,4.0
376,202010,EC-MS-CEIE,CEIE605,F,29.0
377,202010,EC-MS-CEIE,CEIE679,F,1.0
378,202010,EC-MS-CEIE,CEIE795,F,22.0
379,202010,EC-MS-CEIE,CEIE524,T,139.0
380,202010,EC-MS-CEIE,CEIE575,T,130.0
381,202010,EC-MS-CEIE,CEIE576,T,127.0
382,202010,EC-MS-CEIE,CEIE578,T,145.0
383,202010,EC-MS-CEIE,CEIE605,T,120.0
384,202010,EC-MS-CEIE,CEIE679,T,148.0
385,202010,EC-MS-CEIE,CEIE795,T,127.0
386,202010,EC-MS-CS,CS530,F,96.0
387,202010,EC-MS-CS,CS531,F,145.0
388,202010,EC-MS-CS,CS550,F,49.0
389,202010,EC-MS-CS,CS583,F,53.0
390,202010,EC-MS-CS,CS584,F,62.0
391,202010,EC-MS-CS,CS675,F,2.0
392,202010,EC-MS-CS,ISA562,F,15.0
393,202010,EC-MS-CS,ISA681,F,1.0
394,202010,EC-MS-CS,SWE619,F,0.0
395,202010,EC-MS-CS,SWE621,F,0.0
396,202010,EC-MS-CS,SWE622,F,0.0
397,202010,EC-MS-CS,SWE632,F,22.0
398,202010,EC-MS-CS,SWE681,F,2.0
399,202010,EC-MS-CS,CS530,T,53.0
400,202010,EC-MS-CS,CS531,T,4.0
401,202010,EC-MS-CS,CS550,T,100.0
402,202010,EC-MS-CS,CS583,T,96.0
403,202010,EC-MS-CS,CS584,T,87.0
404,202010,EC-MS-CS,CS675,T,147.0
405,202010,EC-MS-CS,ISA562,T,134.0
406,202010,EC-MS-CS,ISA681,T,148.0
407,202010,EC-MS-CS,SWE619,T,149.0
408,202010,EC-MS-CS,SWE621,T,149.0
409,202010,EC-MS-CS,SWE622,T,149.0
410,202010,EC-MS-CS,SWE632,T,127.0
411,202010,EC-MS-CS,SWE681,T,147.0
412,202010,EC-MS-DAEN,AIT524,F,6.0
413,202010,EC-MS-DAEN,AIT580,F,62.0
414,202010,EC-MS-DAEN,AIT582,F,6.0
415,202010,EC-MS-DAEN,AIT614,F,6.0
416,202010,EC-MS-DAEN,AIT622,F,5.0
417,202010,EC-MS-DAEN,AIT664,F,5.0
418,202010,EC-MS-DAEN,CS504,F,105.0
419,202010,EC-MS-DAEN,OR531,F,73.0
420,202010,EC-MS-DAEN,OR541,F,13.0
421,202010,EC-MS-DAEN,OR542,F,2.0
422,202010,EC-MS-DAEN,STAT515,F,119.0
423,202010,EC-MS-DAEN,STAT544,F,5.0
424,202010,EC-MS-DAEN,STAT554,F,11.0
425,202010,EC-MS-DAEN,AIT524,T,143.0
426,202010,EC-MS-DAEN,AIT580,T,87.0
427,202010,EC-MS-DAEN,AIT582,T,143.0
428,202010,EC-MS-DAEN,AIT614,T,143.0
429,202010,EC-MS-DAEN,AIT622,T,144.0
430,202010,EC-MS-DAEN,AIT664,T,144.0
431,202010,EC-MS-DAEN,CS504,T,44.0
432,202010,EC-MS-DAEN,OR531,T,76.0
433,202010,EC-MS-DAEN,OR541,T,136.0
434,202010,EC-MS-DAEN,OR542,T,147.0
435,202010,EC-MS-DAEN,STAT515,T,30.0
436,202010,EC-MS-DAEN,STAT544,T,144.0
437,202010,EC-MS-DAEN,STAT554,T,138.0
438,202010,EC-MS-ELEN,ECE542,F,12.0
439,202010,EC-MS-ELEN,ECE584,F,8.0
440,202010,EC-MS-ELEN,ECE586,F,4.0
441,202010,EC-MS-ELEN,ECE590,F,12.0
442,202010,EC-MS-ELEN,ECE542,T,137.0
443,202010,EC-MS-ELEN,ECE584,T,141.0
444,202010,EC-MS-ELEN,ECE586,T,145.0
445,202010,EC-MS-ELEN,ECE590,T,137.0
446,202010,EC-MS-ISYS,CS550,F,49.0
447,202010,EC-MS-ISYS,INFS501,F,33.0
448,202010,EC-MS-ISYS,INFS519,F,23.0
449,202010,EC-MS-ISYS,INFS622,F,80.0
450,202010,EC-MS-ISYS,INFS774,F,2.0
451,202010,EC-MS-ISYS,CS550,T,100.0
452,202010,EC-MS-ISYS,INFS501,T,116.0
453,202010,EC-MS-ISYS,INFS519,T,126.0
454,202010,EC-MS-ISYS,INFS622,T,69.0
455,202010,EC-MS-ISYS,INFS774,T,147.0
456,202010,EC-MS-TCOM,TCOM500,F,9.0
457,202010,EC-MS-TCOM,TCOM535,F,11.0
458,202010,EC-MS-TCOM,TCOM500,T,140.0
459,202010,EC-MS-TCOM,TCOM535,T,138.0
460,202070,EC-MS-AIT,AIT512,F,12.0
461,202070,EC-MS-AIT,AIT524,F,6.0
462,202070,EC-MS-AIT,AIT542,F,14.0
463,202070,EC-MS-AIT,AIT582,F,6.0
464,202070,EC-MS-AIT,AIT614,F,6.0
465,202070,EC-MS-AIT,AIT660,F,11.0
466,202070,EC-MS-AIT,AIT664,F,5.0
467,202070,EC-MS-AIT,AIT672,F,13.0
468,202070,EC-MS-AIT,AIT677,F,8.0
469,202070,EC-MS-AIT,AIT512,T,137.0
470,202070,EC-MS-AIT,AIT524,T,143.0
471,202070,EC-MS-AIT,AIT542,T,135.0
472,202070,EC-MS-AIT,AIT582,T,143.0
