,rec_id,semester,program,min_waitlisted_students
824,825,202270,EC-MS-DFOR,0
825,826,202270,EC-MS-ELEN,0
826,827,202270,EC-MS-ISA,0
827,828,202270,EC-MS-ISYS,0
828,829,202270,EC-MS-OPRS,0
829,830,202270,EC-MS-STAT,0
830,831,202270,EC-MS-SWE,0
831,832,202270,EC-MS-SYST,0
832,833,202270,EC-MS-TCOM,0
833,834,202310,EC-MS-AIT,0
834,835,202310,EC-MS-BIOE,0
835,836,202310,EC-MS-BSTA,0
836,837,202310,EC-MS-CEIE,0
837,838,202310,EC-MS-CPE,0
838,839,202310,EC-MS-CS,0
839,840,202310,EC-MS-CYSE,0
840,841,202310,EC-MS-DAEN,0
841,842,202310,EC-MS-DFOR,0
842,843,202310,EC-MS-ELEN,0
843,844,202310,EC-MS-ISA,0
844,845,202310,EC-MS-ISYS,0
845,846,202310,EC-MS-OPRS,0
846,847,202310,EC-MS-SWE,0
847,848,202310,EC-MS-SYST,23
848,849,202310,EC-MS-TCOM,25
